surface,reading,romaji,pos,frequency,short_translation,detailed_translation,used_in_sentence,english_pos
鈴,スズ,suzu,名詞-普通名詞-一般,12,bell,"A small bell often used as a decoration, sound maker, or charm.",彼女のバッグには小さな鈴が付いていました。,noun
演習,エンシュー,enshuu,名詞-普通名詞-サ変可能,8,exercise,"The term '演習' refers to exercises or drills, particularly those that involve practicing skills, including military exercises or academic assignments.",学生たちは数学の演習を毎日行います。,noun
取ら,トラ,tora,動詞-一般,5,take,"To take or collect something, often implying obtaining or picking up.",彼は賞を取らなかった。,verb
嫌い,キライ,kirai,名詞-普通名詞-形状詞可能,5,dislike,A feeling of aversion or hostility towards something or someone; the state of disliking something.,私は納豆が嫌いです。,noun
鳴る,ナル,naru,動詞-一般,4,ring,"To make a sound, typically used for things producing noise like bells or alarms.",電話のベルが鳴る。,verb
将来,ショーライ,shourai,名詞-普通名詞-副詞可能,4,future,The term '将来' refers to the future or the time ahead. It denotes the period that will come after the present moment and can be used in various contexts to talk about things that are expected to happen.,彼は将来の計画を立てている。,noun
裏,ウラ,ura,名詞-普通名詞-一般,4,back,"The word '裏' commonly means the reverse side, underside, or the back of an object or location. It can also imply something hidden or unseen.",部屋の裏に庭があります。,noun
趣味,シュミ,shumi,名詞-普通名詞-一般,4,hobby,"Hobby or interest, referring to an activity or pastime one enjoys doing in their leisure time.",彼の趣味は絵を描くことです。,noun
スタート,スタート,sutaato,名詞-普通名詞-サ変可能,3,start,"The word 'スタート' refers to the beginning of an event or process, such as a race, project, or any activity. It can also imply the act of initiating or launching something.",レースのスタートが迫っています。,noun
オヤジ,オヤジ,oyaji,名詞-普通名詞-一般,3,dad,"A colloquial term for 'father' or 'old man', often used informally to refer to one's own father or an older man in general.",彼のオヤジはとても厳しい人です。,noun
やがっ,ヤガッ,yagatsu,助動詞,3,will,"Used informally, 'やがっ' is a colloquial suffix in Kansai dialects that indicates a future action, similar to 'will' or 'going to.' It often conveys a sense of annoyance or derision toward the subject performing the action.",あいつはまた遅刻しやがった。,auxiliary verb
隙,スキ,geki,名詞-普通名詞-一般,3,gap,"An opening or space between two objects, or a break or pause in something. It can refer to both physical gaps and metaphorical ones, such as a lapse or opportunity.",彼は攻撃の隙をついて反撃した。,noun
名,メー,mei,名詞-普通名詞-助数詞可能,3,name,"A term referring to the word or phrase that identifies an individual, thing, or concept. It can be used in various contexts including personal names, brand names, etc.",彼は自分の名をノートに書いた。,noun
後ろ,ウシロ,ushiro,名詞-普通名詞-一般,3,back,"Refers to the rear or reverse side of something, or to a position further behind.",彼は私の後ろに立っていた。,noun
抜き,ヌキ,nuki,名詞-普通名詞-一般,3,exclusion,"The word '抜き' refers to the act of excluding or leaving something out. It can also mean doing something without a certain element, or being without something.",卵抜きでケーキを作りました。,noun
体術,タイジュツ,taijutsu,名詞-普通名詞-一般,3,martial arts,"The term '体術' refers to techniques and skills associated with physical martial arts, involving the body movement techniques used in various forms of hand-to-hand combat or self-defense.",彼は体術を学んでいる。,noun
超す,コス,chou,動詞-一般,2,exceed,"To go beyond a certain point, limit, or threshold. It can also mean to surpass in quantity, level, or amount.",今年の売上は去年を超す見込みです。,verb-general
２人,フタリ,2,名詞-普通名詞-副詞可能,2,two people,The translation of '２人' is 'two people.' It refers to a pair of individuals or a group of two persons. Used in various contexts to denote two people together or involved in a situation.,２人は映画館に行きました。,noun
食う,クー,kuu,動詞-一般,2,eat,To consume food; to eat. It often has a casual or informal connotation and can sometimes imply eating greedily or with gusto.,彼は昼ご飯を食っている。,verb
におい,ニオイ,nioi,名詞-普通名詞-一般,2,smell,"A sense or sensation that is perceived through the nose, often associated with the scent, aroma, or odor of an object or substance.",花のにおいが好きです。,noun
遅,チ,chi,記号-一般,2,slow,The word '遅' typically means 'slow' or 'delayed'. It can refer to moving at a slower pace or being late compared to an expected time or speed.,彼の反応が遅かった。,symbol-general
錯覚,サッカク,sakkaku,名詞-普通名詞-サ変可能,2,illusion,"An incorrect perception or belief, often a distortion of sensory input or a false understanding.",彼はそれを現実だと錯覚した。,noun
まっ,マッ,matsu,助動詞,2,will,"The word 'まっ' is an auxiliary verb in Japanese, often a colloquial or informal contraction of 'ます', which is a polite auxiliary that indicates future intent or willingness similar to 'will' in English. It shows politeness and is commonly used to express future action or intention.",明日早く起きまっ！,auxiliary verb
時,ジ,toki,名詞-普通名詞-助数詞可能,2,hour,The Japanese word '時' (ji) can mean 'hour' or 'time.' It refers to a specific unit of time used to indicate the hour on a clock or a general concept of time.,今、何時ですか？,noun
用意,ヨーイ,youi,名詞-普通名詞-サ変可能,2,preparation,"A noun referring to the act of preparing or making ready for something, including arrangements or provisions for an event or situation.",旅行の用意をする。,noun
減っ,ヘッ,hetsu,動詞-一般,2,decrease,"To become less in quantity, size, or intensity; to diminish or reduce.",彼の貯金はかなり減った。,verb
本物,ホンモノ,honmono,名詞-普通名詞-一般,2,real thing,"The term refers to an object or person that is genuine or authentic, as opposed to a replica or counterfeit.",このバッグは本物です。,noun
入れ替え,イレカエ,irekae,動詞-一般,2,replace,"To switch or substitute one thing for another, often involving a change or exchange of positions.",彼は古いタイヤを新しいタイヤと入れ替えた。,verb
本,ホン,hon,名詞-普通名詞-一般,2,book,"This word refers to a book, which can be any written or printed work consisting of pages glued or sewn together along one side and bound in covers.",私は昨日、新しい本を買いました。,noun
朝飯,アサメシ,asameshi,名詞-普通名詞-一般,2,breakfast,"The first meal of the day, usually eaten in the morning.",朝飯を食べるのが一日の始まりです。,noun
全員,ゼンイン,zen'in,名詞-普通名詞-副詞可能,2,everyone,"The word means 'everyone' or 'all members,' referring to every person in a particular group.",全員が会議に出席しました。,noun
昼,ヒル,hiru,名詞-普通名詞-副詞可能,2,noon,"The word '昼' refers to the daytime, specifically around midday, which can also mean noon. It can imply the period of daylight or simply the middle part of the day.",昼ご飯を食べに行きましょう。,noun
攻撃,コーゲキ,kougeki,名詞-普通名詞-サ変可能,2,attack,"An action of aggressing or assaulting, often used in military or sports context, where one party attempts to cause harm or gain an advantage over another.",彼の攻撃は速くて正確だった。,noun
実力,ジツリョク,jitsuryoku,名詞-普通名詞-一般,2,ability,"Ability or power, specifically referring to one's skill, competence, or proficiency in a particular area.",彼は実力で認められた。,noun
読め,ヨメ,yome,動詞-一般,2,read,"The word '読め' is the imperative form of the verb '読む' (yomu), meaning 'to read.' In this form, it is a command or request for someone to read something.",この本を読め。,verb
やら,ヤラ,yara,動詞-非自立可能,2,do (or),"The word 'やら' is used as a conjunction that implies 'or,' often linking verbs or phrases to imply actions or possibilities without specific restrictions. It is a non-autonomous verb that requires another verb or action to be complete.",雨が降るやら風が吹くやら、大変な天気だった。,verb (non-autonomous)
結構,ケッコー,kekkou,副詞,2,quite,"The word '結構' as an adverb means 'quite', 'fairly', or 'reasonably', often used to indicate that something is to a satisfactory or substantial degree, but not excessively so.",このスープは結構美味しいです。,adverb
カカシ,カカシ,kakashi,名詞-固有名詞-人名-名,2,Kakashi,"Kakashi is a Japanese male given name, often found in manga and anime series. It means 'scarecrow' in Japanese, but as a name it doesn't necessarily relate to its literal meaning.",カカシは有名なアニメキャラクターです。,noun - proper noun - personal name - first name
カップ,カップ,kappu,名詞-普通名詞-一般,2,cup,"A small open container used for drinking, typically with a handle, commonly referred to as a 'cup'. It can also refer to measurement units, trophies, or events like 'World Cup'.",ケーキと一緒にカップコーヒーを飲みました。,noun
サバイバル,サバイバル,sabaibaru,名詞-普通名詞-一般,2,survival,"The term 'サバイバル' refers to the concept of 'survival,' which can mean the act or process of surviving, especially under challenging conditions. It can be used in various contexts such as outdoor survival, survival in a difficult environment, or metaphorical survival in adverse situations.",彼はサバイバルの技術を習得したいと思っている。,noun
ズレ,ズレ,zure,動詞-一般,2,shift,"To shift or to be out of alignment, usually referring to things not matching up correctly or being out of place.",時計の時間がズレている。,verb
フフ,フフ,fufu,感動詞-一般,2,huh,"'フフ' is an interjection often used to convey a light chuckle, amusement, or a subtle laugh. It expresses a soft giggle or laugh, similar to 'heh' in English.",彼の冗談に思わずフフと笑ってしまった。,interjection
わな,ワナ,wana,名詞-普通名詞-一般,2,trap,"A trap is a device or strategy designed to catch or ensnare something, often used for capturing animals or as a figurative term for catching someone unawares.",彼は森でわなを仕掛けて動物を捕まえた。,noun
ウスラトンカチ,ウスラトンカチ,usuratonkachi,名詞-普通名詞-一般,2,fool,A light-hearted term for someone who is a bit foolish or acts silly. It implies a lack of serious intelligence or awareness.,彼はいつもウスラトンカチのように振る舞う。,noun
おもしろい,オモシロイ,omoshiroi,形容詞-一般,2,interesting,"Describes something that captures attention or arouses curiosity due to its uniqueness, humor, or engaging nature.",この映画はとてもおもしろいです。,adjective
ちまう,チマウ,chimau,助動詞,2,do accidentally,"'Chimau' is an auxiliary verb indicating the completion of an action, often suggesting the completion was unintentional or regrettable, similar to 'end up doing' or 'do accidentally' in English.",宿題を忘れてしまった。,auxiliary verb
ちと,チト,chito,副詞,2,a bit,"Indicates a small amount or degree; slightly, just a little.",ちと疲れたから休もう。,adverb
年頃,トシゴロ,nengoro,名詞-普通名詞-一般,1,age,This word refers to an age or the age when one is typically considered to be at the prime of their youth or maturity. It can also refer to an appropriate or suitable age for something.,彼女はちょうど結婚する年頃です。,noun
弁当,ベントー,bentou,名詞-普通名詞-一般,1,bento,"A bento is a Japanese lunchbox or meal that is typically packed in a compartmentalized container and often includes rice, vegetables, and protein, such as fish, chicken, or meat.",お昼に美味しい弁当を食べた。,noun
気付け,キツケ,kizuke,名詞-普通名詞-一般,1,reviver,A substance or method used to help someone regain consciousness or alertness; often refers to techniques or substances used in traditional medicine.,彼女は長時間働いた後、気付けを必要としていた。,noun
殺し,コロシ,koroshi,名詞-普通名詞-一般,1,killing,"The act of causing death to a living creature, typically used to describe the act of murder or homicide.",彼は殺しの容疑で逮捕された。,noun
気配,ケハイ,kehai,名詞-普通名詞-一般,1,sign,"An indication or sign of something; it can refer to a feeling, presence, or atmosphere of something not directly visible or tangible.",彼は部屋に誰かの気配を感じた。,noun
引い,ヒー,hii,動詞-一般,1,pull,"To pull or draw; it can also mean to subtract, as in mathematics.",ロープを引いてください。,verb
残像,ザンゾー,zanzou,名詞-普通名詞-一般,1,afterimage,An impression of a visual image retained by the retina after the stimulus has ceased. It often appears in complementary colors and is typically seen after looking at a bright light source.,明るい光を見た後に残像が見えた。,noun
残り,ノコリ,nokori,名詞-普通名詞-一般,1,remainder,The word '残り' refers to the part or amount that remains or is left after a greater part has been used or subtracted.,仕事の残りがまだたくさんあります。,noun
死ぬ,シヌ,shinu,動詞-一般,1,die,"The verb '死ぬ' means to die or to pass away. It can refer to the physical cessation of life or, more figuratively, to something coming to an end.",彼は病気で死ぬのではないかと心配している。,verb - general
武器,ブキ,buki,名詞-普通名詞-一般,1,weapon,"A tool or instrument used for combat or defense, typically designed to inflict harm or damage to opponents.",彼は最強の武器を手に入れた。,noun
止め,トメ,tome,動詞-一般,1,stop,To bring something to an end or halt; to cease an activity or process.,信号が赤になったので、車を止めた。,verb
横切ら,ヨコギラ,yokogira,動詞-一般,1,cross,"To go across from one side to the other, usually referring to crossing a path, road, or threshold.",彼は道路を横切った。,verb
消し,ケシ,keshi,名詞-普通名詞-一般,1,eraser,"Refers to an object used for erasing or removing marks from paper, such as a rubber eraser used in writing or drawing.",彼の机の上に消しがたくさんあります。,noun
率,リツ,ritsu,名詞-普通名詞-一般,1,rate,"The word '率' refers to a ratio or a percentage, often used to describe things like growth rates, success rates, or efficiency rates. It indicates the frequency or occurrence of something within a particular context.",彼の貯金率は年々増加している。,noun
物体,ブッタイ,buttai,名詞-普通名詞-一般,1,object,"A tangible and visible entity that is observable and can be perceived through the senses, often referring to an inanimate thing.",机の上に不思議な物体が置かれていた。,noun
無理,ムリ,muri,名詞-普通名詞-形状詞可能,1,impossible,"The word '無理' can mean 'impossible,' 'unreasonable,' or 'unrealistic.' It refers to something that cannot be done or accomplished, or a request that is beyond reason or possibilities.",彼は無理なお願いをした。,noun
川下,カワシモ,kawashimo,名詞-普通名詞-一般,1,downstream,"'Kawakudari' refers to the lower course or downstream portion of a river, commonly representing the direction or area where water flows away from the upper parts toward the mouth of the river.",川の川下で釣りをしました。,noun-general
火,ヒ,hi,名詞-普通名詞-一般,1,fire,"'火' refers to fire, flame, or an instance of something burning. It can also be used metaphorically to describe energy or enthusiasm.",キャンプファイヤーには火が必要です。,noun - common noun - general
湯,ユ,yu,名詞-普通名詞-一般,1,hot water,"In Japanese, '湯' refers to 'hot water', commonly used for bathing or cooking. It can also imply water that's warm rather than boiling.",彼は毎晩お風呂に湯を張る。,noun - common noun - general
己,オノレ,onore,代名詞,1,oneself,"The word '己' is used to refer to oneself, much like 'oneself' or 'self' in English. It emphasizes the concept of self-reflection or individual responsibility.",己を知ることは大切だ。,pronoun
楽,ガク,raku,接尾辞-名詞的-一般,1,comfort,"The word '楽' when used as a suffix or part of a compound can imply comfort, ease, or the state of being at ease, often associated with safety or security.",彼女の部屋はとても安楽です。,suffix-noun
消し,ケシ,keshi,動詞-一般,1,erase,"消し is the stem form of the verb 消す, which means to erase, delete, extinguish, or turn off (like a light or a flame). It can also imply erasing a presence or eliminating something.",彼は黒板の文字を消しました。,verb
構え,カマエ,kamae,名詞-普通名詞-一般,1,posture,"A stance or posture, often related to a physical or mental attitude, readiness, or arrangement for dealing with a situation.",彼の構えは堂々としている。,noun
来,コ,rai,動詞-非自立可能,1,come,"The verb '来' (来る in its full form) means 'to come' in English. It is used to describe the movement from another place to the current location or context of the speaker. As a non-independent verb form, it needs to be conjugated or used with another word in a sentence.",彼は明日来ます。,verb
教える,オシエル,oshie,動詞-一般,1,teach,To impart knowledge or skills to someone by instruction or example. It can also mean to inform or tell someone about something.,彼は日本語を外国人に教える。,verb
心得,ココロエ,kokoroe,名詞-普通名詞-一般,1,knowledge,"Knowledge or understanding, often referring to insights or skills gained through experience or practice.",新しい仕事には多くの心得が必要です。,noun
捕まっ,ツカマッ,tsukama,動詞-一般,1,caught,"The verb '捕まっ' translates to 'caught' in English. It is the past indicative form of '捕まる' which means to be caught, captured, or arrested. This verb indicates that something was successfully captured, held, or arrested, often by an authority such as the police.",彼は警察に捕まった。,verb
持っ,モッ,motsu,動詞-一般,1,have,"The word '持っ' is the base form of the verb '持つ' which means 'to have', 'to hold', or 'to own' something. It can also imply possessing a certain quality or feeling.",彼は大きな夢を持っている。,verb-general
拝見,ハイケン,haiken,名詞-普通名詞-サ変可能,1,seeing,"A respectful term used to refer to the act of seeing or looking at something, often implying humility when referring to viewing something belonging to others.",この書類を拝見いたします。,noun
担当,タントー,tantou,名詞-普通名詞-サ変可能,1,charge,"In a noun form, '担当' refers to a person or entity that has been given responsibility or is in charge of a certain task, duty, or area. It can also refer to the act of taking on a role or responsibility.",私はこのプロジェクトの担当です。,noun
抜い,ヌイ,nui,動詞-非自立可能,1,extract,"The verb '抜い' is a form of '抜く' which means 'to extract,' 'to pull out,' or 'to remove.' In this form, it acts as an auxiliary verb to indicate completion of an action or emphasis on a certain aspect.",彼はその木から釘を抜いた。,verb (auxiliary)
