surface,reading,romaji,pos,frequency,short_translation,detailed_translation,used_in_sentence,english_pos
丸,マル,maru,接尾辞-名詞的-一般,24,circle,"Indicates a circle or round shape; often used as a suffix in place names, ship names, or to signify something is complete and whole.",この船は日本丸と呼ばれています。,suffix
親分,オヤブン,oyabun,名詞-普通名詞-一般,14,boss,"A term used to refer to a leader or head of a group, often in a social or informal context. It can imply a position of respect or authority, commonly used in gangs or organizations.",そのチームの親分が集まった。,noun
コレ,コレ,kore,名詞-普通名詞-一般,9,this,A general noun used to refer to a thing or situation that is near the speaker. Similar to 'this thing' or 'this one' in English.,これは私のペンです。,noun
私,ワタクシ,watashi,代名詞,9,I,"The word '私' (watashi) is a personal pronoun used primarily by both males and females to refer to themselves in a neutral or polite manner. It is the most common way to say 'I' or 'me' in Japanese, especially in formal or polite contexts. Other variations exist depending on formality, gender, and context.",私は学生です。,pronoun
ｴﾋﾞｽ,ｴﾋﾞｽ,ebisu,名詞-普通名詞-一般,8,Ebisu,"Ebisu is one of the Seven Lucky Gods of Japan, often associated with prosperity, merchants, and fishermen. In modern contexts, it can also refer to a place name or a brand name in Japan.",えびす様は商売繁盛の神様として祀られています。,noun
まし,マシ,mashi,助動詞,7,would,"The auxiliary verb 'まし' expresses hypothetical, counterfactual situations or desires, similar to 'would' or 'could' in English. It is used to discuss scenarios that are not real or did not happen.",もしあの時、彼に会わなければ、今の私はもっと幸せだったかもしれない。,auxiliary verb
エビス,エビス,ebisu,名詞-普通名詞-一般,6,Yebisu,"Yebisu can refer to a variety of things such as a popular Japanese beer brand, an area in Tokyo, or Ebisu, one of the Seven Lucky Gods of Japan.",昨日、友達とエビスビールを飲みました。,noun
教師,キョーシ,kyoushi,名詞-普通名詞-一般,5,teacher,"A teacher or educator, commonly used to refer to individuals who teach in schools or educational institutions.",彼女は高校の教師です。,noun
オッス,オッス,ossu,名詞-普通名詞-一般,4,greeting,"A casual or informal greeting commonly used among friends, similar to 'hi' or 'hey'. Often used in casual social interactions.",彼は毎朝オッスと言って元気をくれる。,noun
出,デ,shutsu,動詞-一般,3,to leave,"The verb '出' (deru) means 'to leave' or 'to go out.' It can refer to the act of exiting a place, appearing or emerging, or leaving a certain state or condition. It is often used in various contexts related to movement and transitions.",彼は朝早く家を出た。,verb
