surface,reading,romaji,pos,frequency,short_translation,detailed_translation,used_in_sentence,english_pos
チームワーク,チームワーク,chiimuwaaku,名詞-普通名詞-一般,6,teamwork,"Teamwork refers to the combined efforts of a group of people working towards a common goal, emphasizing cooperation and collaborative effort.",彼らの成功は優れたチームワークのおかげです。,noun
仲間,ナカマ,nakama,名詞-普通名詞-一般,4,companion,A person with whom one spends a lot of time or has a close relationship. It can also refer to a colleague or someone belonging to the same group or category.,彼は私の良い仲間です。,noun
ルール,ルール,ruuru,名詞-普通名詞-一般,4,rule,"A principle or regulation established in a particular field, or an explicit set of instructions or guidelines that must be followed.",試合のルールを守らなければなりません。,noun
食わ,クワ,kuwa,動詞-一般,3,eat,"An informal or colloquial form of the verb 'to eat' where '食わ' is derived from '食う', often used in casual speech or regional dialects.",彼はいつも朝ごはんを食わない。,verb
答え,コタエ,kotae,名詞-普通名詞-一般,3,answer,"The word '答え' translates to 'answer' or 'response' in English, often used to refer to a solution or reply in various contexts, such as in exams or conversations.",彼の質問に対する私の答えはこれです。,noun
なら,ナラ,nara,動詞-非自立可能,3,if,"Used to express a conditional statement or hypothesis. It implies that if the condition is met, then something will happen.",雨が降るなら、傘を持って行きなさい。,verb (dependent)
確か,タシカ,tashika,形状詞-一般,3,certain,"Referring to something that is sure or definite, without any doubt or uncertainty. It can also mean reliable or trustworthy.",この情報が確かかどうか確認してください。,adjective
隙見,スキミ,sukimi,名詞-普通名詞-サ変可能,2,peeping,The act of secretly or furtively looking into a private space; watching or spying without being noticed.,彼は通りの隙見をしていた。,noun
石,イシ,ishi,名詞-普通名詞-一般,2,stone,A naturally occurring solid aggregate of minerals or mineraloid matter. It can refer to a small rock or the material used for building.,庭に大きな石があります。,noun
判断,ハンダン,handan,名詞-普通名詞-サ変可能,2,judgment,Judgment refers to the ability to make considered decisions or come to sensible conclusions. It can also mean the act of forming an opinion or evaluation by discerning and comparing.,彼の判断はいつも正確です。,noun
割れ,ワレ,ware,名詞-普通名詞-一般,2,crack,"A term that refers to a physical break or split in an object, can also refer to figurative splits or divisions.",ガラスに割れが入った。,noun
取り,トリ,tori,動詞-一般,2,take,"The verb '取り' (tori) in Japanese generally means to 'take', 'fetch', or 'get'. It is often used in various contexts such as taking an object, getting something done, or removing something.",彼は棚から本を取りました。,verb
泣い,ナイ,nai,動詞-一般,2,cry,"The verb '泣い' (nai) is the stem form of '泣く' (naku), which means to cry or weep. It refers to the act of someone shedding tears due to emotions such as sadness, joy, or frustration.",彼女は映画を見て泣いてしまった。,verb
平気,ヘーキ,heiki,名詞-普通名詞-形状詞可能,2,calm,"A state of being calm, unperturbed, or unbothered by external circumstances; could also imply bravery or nonchalance.",彼は平気な顔をしている。,noun
幻術,ゲンジュツ,genjutsu,名詞-普通名詞-一般,2,illusion,"A technique or art of creating visual or sensory illusions, often used in magical or mystical contexts.",彼は幻術を使って観客を驚かせた。,noun
必要,ヒツヨー,hitsuyou,名詞-普通名詞-形状詞可能,2,necessary,"Necessary is an adjective that describes something that is essential or required. In noun form, it refers to the concept of necessity or requirement. The word '必要' can be used both as a noun meaning 'necessity' and as a quasi-adjective to describe things that are indispensable.",この仕事には経験が必要です。,"noun (common noun, can also be a quasi-adjective)"
殺せ,コロセ,korose,動詞-一般,2,kill,"To kill; to cause the death of a person, animal, or other living thing intentionally.",彼は敵を殺せと命じられた。,verb
暇,ヒマ,hima,名詞-普通名詞-形状詞可能,2,leisure,Leisure refers to free time when one is not working and can relax or engage in enjoyable activities. This word can also imply a feeling of boredom due to a lack of activities.,今日は暇だから、映画を見に行こうかな。,noun
正直,ショージキ,shoujiki,名詞-普通名詞-形状詞可能,2,honesty,"Honesty refers to the quality of being truthful and fair. It can also imply sincerity and integrity, being free from deceit or fraud.",彼の正直さは皆に尊敬されています。,noun
個人,コジン,kojin,名詞-普通名詞-一般,2,individual,"The term ""個人"" refers to a person or individual as distinct from a group or society. It implies singularity and selfhood, often focusing on one's personal identity or autonomy.",そのプロジェクトの成功は、各個人の努力にかかっています。,noun
今回,コンカイ,konkai,名詞-普通名詞-副詞可能,2,this time,"refers to 'this time' or 'this instance', often used to specify the current occurrence or event being discussed.",今回は特別なイベントがあります。,"noun, common noun, possibly adverbial"
殉職,ジュンショク,junshoku,名詞-普通名詞-サ変可能,2,dying in line of duty,"'Jyunshoku' refers to the act of dying while performing one's duties, often used for occupations considered to be public service such as police officers, firefighters, or military personnel.",消防士が火事で殉職した。,noun
置い,オイ,oi,動詞-非自立可能,2,put,"The verb '置い' is a non-independent form of the verb '置く', meaning to place or put something down. It is often used in compound verbs or auxiliary settings.",テーブルの上に本を置いといてください。,verb (non-independent)
プレー,プレー,puree,名詞-普通名詞-サ変可能,2,play,"This word refers to the act of playing or the concept of a play, often used in sports or games. It denotes the execution of a move, strategy, or action during a game or sport.",サッカーのプレーを見るのが好きだ。,noun
